NOC,Year,Ath_Cnt
NOR,2012,69
SUI,1956,80
MGL,1992,11
SUI,1968,155
AUS,1980,19
GER,2014,271
AUT,2014,213
AUT,1936,363
GBR,1952,35
YUG,1948,162
ROU,1996,284
ESP,1972,162
EST,1994,67
CRC,1976,10
PAR,1992,31
VEN,2000,65
VEN,2004,53
PUR,1976,112
CHI,2000,58
HON,2008,26
COL,2008,90
CRC,1992,20
ISV,1972,16
MEX,1980,74
MEX,1988,21
MEX,1992,34
ITA,1952,52
ITA,2006,290
ITA,1976,94
POR,1928,39
POR,1952,155
PER,1984,44
PER,1988,26
PER,1992,21
MAS,1988,17
NED,1964,13
LUX,1920,35
LUX,1924,122
FRA,2006,159
PUR,1992,6
PUR,1994,6
PUR,1998,7
CAF,1992,21
PAN,2016,14
ESA,1972,18
CRC,2012,11
THA,1984,40
MAS,1972,57
UZB,2008,69
GER,1956,18
JPN,1998,245
SLE,1992,15
SLE,1996,19
IOA,2000,4
TLS,2004,2
VEN,1960,54
ESP,1932,8
VEN,1952,63
COD,1996,14
GRE,1928,47
BAN,1992,9
GAB,2016,6
CAF,1984,3
CAF,1988,15
GDR,1980,407
AUT,2012,90
GER,1960,110
GER,1964,144
AUT,2000,114
POL,1968,296
YUG,1988,115
HUN,1976,1
SUI,2010,190
SUI,1984,79
NAM,2004,10
AUT,1948,239
INA,2000,54
BRA,1920,38
BRA,1932,67
SRI,1992,16
BAH,2000,39
BAH,2004,28
BAH,2008,33
BAH,2012,29
BAH,2016,38
VEN,1984,44
SMR,1992,15
SMR,1996,7
SMR,2000,4
SMR,2004,5
ISR,1952,31
LIB,1960,22
ISR,1984,65
ISR,1988,29
ISR,1992,44
MDV,1992,10
MDV,1996,9
ISR,2016,59
MAS,2008,42
IRI,1956,17
COD,1988,21
COD,1992,19
THA,2016,58
DEN,1956,12
LAO,1996,5
TAN,1984,21
FRA,2010,196
GHA,2008,9
GUY,1968,6
BER,1972,9
BOT,2012,4
BOT,2016,14
ROT,2016,12
DOM,1976,11
AUT,1992,96
GDR,1968,5
GHA,2012,7
KEN,1972,69
UGA,1964,19
NOR,1908,103
NOR,1976,114
BUL,1972,226
KOR,2016,263
KOR,1984,240
KOR,1988,38
KOR,1964,20
